Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Energy Consumption (kWh)
2024-09-23,26,77,13,396
2024-09-22,25,77,5,388
2024-09-21,26,73,12,394
2024-09-20,15,63,10,280
2024-09-19,16,72,7,295
2024-09-18,21,59,5,338
2024-09-17,26,69,15,392
2024-09-16,29,79,12,427
2024-09-15,21,69,16,341
2024-09-14,22,55,12,345
2024-09-13,21,60,14,337
2024-09-12,20,77,13,336
2024-09-11,17,63,18,298
2024-09-10,27,69,10,402
2024-09-09,20,77,11,336
2024-09-08,21,50,12,333
2024-09-07,16,65,10,290
2024-09-06,26,59,11,387
2024-09-05,19,73,18,323
2024-09-04,15,58,8,277
2024-09-03,18,57,14,306
2024-09-02,29,67,6,422
2024-09-01,26,70,17,392
2024-08-31,24,57,18,365
2024-08-30,16,77,19,295
2024-08-29,19,68,5,323
2024-08-28,16,50,14,282
2024-08-27,19,61,14,318
2024-08-26,17,69,5,304
2024-08-25,17,51,6,294
